	mean	sd	0.567246	0.000000	0.531671	0.000000	0.550252	0.000000	0.512488	0.000000	0.551628	0.000000	0.545278	0.000000	0.486933	0.000000	0.514071	0.000000	0.519125	0.000000	0.536746	0.000000	0.530100	0.000000	0.521348	0.000000	0.497285	0.000000	0.521759	0.000000	0.574759	0.000000	0.495213	0.000000	0.549574	0.000000	0.516274	0.000000	0.523805	0.000000	0.570073	0.000000	0.512488	0.000000
simple	0.694334	0.041888	0.712012	0.000000	0.682014	0.000000	0.712012	0.000000	0.647996	0.000000	0.770953	0.000000	0.712012	0.000000	0.647953	0.000000	0.689650	0.000000	0.747578	0.000000	0.709474	0.000000	0.712012	0.000000	0.712012	0.000000	0.651553	0.000000	0.741632	0.000000	0.741632	0.000000	0.718795	0.000000	0.583894	0.000000	0.682014	0.000000	0.678929	0.000000	0.678929	0.000000	0.647953	0.000000
pred	0.500226	0.033585	0.560963	0.000000	0.499783	0.000000	0.540492	0.000000	0.519852	0.000000	0.490996	0.000000	0.510477	0.000000	0.437596	0.000000	0.499915	0.000000	0.499783	0.000000	0.519796	0.000000	0.509706	0.000000	0.479405	0.000000	0.427614	0.000000	0.459784	0.000000	0.531399	0.000000	0.458896	0.000000	0.519796	0.000000	0.489554	0.000000	0.479245	0.000000	0.539865	0.000000	0.529822	0.000000
adjunct	0.390748	0.036623	0.411140	0.000000	0.439136	0.000000	0.400090	0.000000	0.461873	0.000000	0.416197	0.000000	0.354145	0.000000	0.385773	0.000000	0.425221	0.000000	0.371268	0.000000	0.439136	0.000000	0.400090	0.000000	0.381918	0.000000	0.311092	0.000002	0.378833	0.000000	0.396992	0.000000	0.354145	0.000000	0.422493	0.000000	0.360407	0.000000	0.341641	0.000000	0.405303	0.000000	0.348820	0.000000
argument types	0.529058	0.030219	0.576631	0.000000	0.545031	0.000000	0.550933	0.000000	0.526318	0.000000	0.577310	0.000000	0.553312	0.000000	0.484777	0.000000	0.514485	0.000000	0.512387	0.000000	0.542793	0.000000	0.519669	0.000000	0.514485	0.000000	0.485952	0.000000	0.544655	0.000000	0.563933	0.000000	0.475811	0.000000	0.519072	0.000000	0.506281	0.000000	0.557711	0.000000	0.554938	0.000000	0.483734	0.000000
arg altern	0.592012	0.032614	0.641126	0.000000	0.600816	0.000000	0.600824	0.000000	0.571850	0.000000	0.613725	0.000000	0.635196	0.000000	0.542817	0.000000	0.566015	0.000000	0.606660	0.000000	0.581080	0.000000	0.566363	0.000000	0.601075	0.000000	0.554385	0.000000	0.595068	0.000000	0.612317	0.000000	0.507895	0.000000	0.601132	0.000000	0.571884	0.000000	0.635815	0.000000	0.631082	0.000000	0.595122	0.000000
imperative	0.210959	0.279379	0.075593	0.815381	0.529150	0.076885	0.356753	0.254981	-0.377964	0.225751	0.356753	0.254981	-0.254824	0.424114	0.356753	0.254981	0.356753	0.254981	-0.254824	0.424114	0.292770	0.355756	0.292770	0.355756	0.075593	0.815381	0.292770	0.355756	0.292770	0.355756	0.529150	0.076885	0.292770	0.355756	0.683130	0.014336	0.356753	0.254981	-0.254824	0.424114	0.356753	0.254981	0.075593	0.815381
bind	0.494893	0.048820	0.533062	0.000000	0.533062	0.000000	0.460487	0.000000	0.440978	0.000000	0.551834	0.000000	0.418238	0.000002	0.514882	0.000000	0.514336	0.000000	0.476649	0.000000	0.554412	0.000000	0.534043	0.000000	0.533097	0.000000	0.437880	0.000001	0.440978	0.000000	0.552563	0.000000	0.437880	0.000001	0.533062	0.000000	0.437389	0.000001	0.419465	0.000002	0.533062	0.000000	0.535391	0.000000
question	0.316434	0.038015	0.317281	0.000001	0.330921	0.000000	0.335832	0.000000	0.331702	0.000000	0.386250	0.000000	0.242773	0.000261	0.316726	0.000001	0.322711	0.000001	0.318201	0.000001	0.295925	0.000007	0.287199	0.000014	0.350553	0.000000	0.231665	0.000502	0.282235	0.000020	0.348787	0.000000	0.319438	0.000001	0.370470	0.000000	0.280026	0.000023	0.284633	0.000017	0.358972	0.000000	0.332805	0.000000
comp clause	0.501488	0.037061	0.527807	0.000000	0.543832	0.000000	0.513879	0.000000	0.500128	0.000000	0.515304	0.000000	0.463186	0.000000	0.473874	0.000000	0.527998	0.000000	0.486776	0.000000	0.528970	0.000000	0.472448	0.000000	0.486937	0.000000	0.415895	0.000000	0.486314	0.000000	0.554547	0.000000	0.527371	0.000000	0.559327	0.000000	0.527807	0.000000	0.430416	0.000000	0.514418	0.000000	0.474017	0.000000
aux	0.407161	0.038289	0.463151	0.000000	0.455214	0.000000	0.401285	0.000000	0.480856	0.000000	0.438390	0.000000	0.413988	0.000000	0.379628	0.000000	0.376526	0.000000	0.376526	0.000000	0.406544	0.000000	0.361557	0.000000	0.392037	0.000000	0.354275	0.000000	0.399229	0.000000	0.433926	0.000000	0.428008	0.000000	0.426881	0.000000	0.365026	0.000000	0.371098	0.000000	0.469530	0.000000	0.356703	0.000000
to-VP	0.433438	0.051496	0.456257	0.000000	0.452056	0.000000	0.506490	0.000000	0.492532	0.000000	0.520894	0.000000	0.416255	0.000000	0.352938	0.000002	0.429196	0.000000	0.346566	0.000004	0.341514	0.000005	0.437768	0.000000	0.416255	0.000000	0.460864	0.000000	0.405099	0.000000	0.470438	0.000000	0.359303	0.000001	0.410350	0.000000	0.456257	0.000000	0.500267	0.000000	0.460864	0.000000	0.410042	0.000000
N, Adj	0.426890	0.035786	0.480746	0.000000	0.403398	0.000000	0.446848	0.000000	0.436155	0.000000	0.486017	0.000000	0.432343	0.000000	0.373535	0.000000	0.456910	0.000000	0.377547	0.000000	0.427801	0.000000	0.381975	0.000000	0.386578	0.000000	0.377547	0.000000	0.431258	0.000000	0.456272	0.000000	0.407282	0.000000	0.398662	0.000000	0.425123	0.000000	0.425123	0.000000	0.469025	0.000000	0.484552	0.000000
S-Syntax	0.324456	0.036660	0.352478	0.000000	0.290170	0.000001	0.360147	0.000000	0.386008	0.000000	0.325829	0.000000	0.334601	0.000000	0.260875	0.000008	0.334022	0.000000	0.316371	0.000000	0.298719	0.000000	0.280491	0.000001	0.351521	0.000000	0.280032	0.000001	0.307233	0.000000	0.385695	0.000000	0.298144	0.000000	0.360691	0.000000	0.307715	0.000000	0.307407	0.000000	0.385775	0.000000	0.289646	0.000001
Det	0.302782	0.047241	0.387241	0.000000	0.374588	0.000000	0.336956	0.000004	0.260359	0.000448	0.319885	0.000013	0.324701	0.000010	0.348440	0.000002	0.249779	0.000773	0.314241	0.000019	0.310877	0.000024	0.260359	0.000448	0.272767	0.000230	0.324701	0.000010	0.336956	0.000004	0.339175	0.000004	0.237205	0.001432	0.328794	0.000007	0.224294	0.002614	0.262067	0.000410	0.324701	0.000010	0.220343	0.003122
Violations	0.111795	0.063666	0.129903	0.116835	0.195828	0.017450	0.118957	0.151270	0.026494	0.750074	0.038529	0.643133	0.127100	0.125009	0.089365	0.281751	0.185282	0.024657	-0.051645	0.534451	0.048575	0.559046	0.033656	0.685706	0.118957	0.151270	0.190463	0.020848	0.111161	0.180111	0.132754	0.108954	0.098802	0.233811	0.204257	0.013081	0.187850	0.022700	0.108631	0.190292	0.141622	0.087072	0.111161	0.180111
