Expression,Category,Animate,Occupation,Clothing,Appearance,Object,finite,pres (past),ing,en,3sg,subj,obj,root,adjs,,,,,,,,
boy,N,1,,,,,,,,,,,,,,,,,,,,,
girl,N,1,,,,,,,,,,,,,,,,,,,,,
man,N,1,,,,,,,,,,,,,,,,,,,,,
woman,N,1,,,,,,,,,,,,,,,,,,,,,
lady,N,1,,,,,,,,,,,,,,,,,,,,,
dude,N,1,,,,,,,,,,,,,,,,,,,,,
guy,N,1,,,,,,,,,,,,,,,,,,,,,
gal,N,1,,,,,,,,,,,,,,,,,,,,,
lad,N,1,,,,,,,,,,,,,,,,,,,,,
lass,N,1,,,,,,,,,,,,,,,,,,,,,
child,N,1,,,,,,,,,,,,,,,,,,,,,
kid,N,1,,,,,,,,,,,,,,,,,,,,,
adult,N,1,,,,,,,,,,,,,,,,,,,,,
person,N,1,,,,,,,,,,,,,,,,,,,,,
human,N,1,,,,,,,,,,,,,,,,,,,,,
doctor,N,1,1,,,,,,,,,,,,,,,,,,,,
patient,N,1,1,,,,,,,,,,,,,,,,,,,,
actor,N,1,1,,,,,,,,,,,,,,,,,,,,
actress,N,1,1,,,,,,,,,,,,,,,,,,,,
waiter,N,1,1,,,,,,,,,,,,,,,,,,,,
waitress,N,1,1,,,,,,,,,,,,,,,,,,,,
customer,N,1,1,,,,,,,,,,,,,,,,,,,,
cashier,N,1,1,,,,,,,,,,,,,,,,,,,,
teacher,N,1,1,,,,,,,,,,,,,,,,,,,,
student,N,1,1,,,,,,,,,,,,,,,,,,,,
guest,N,1,1,,,,,,,,,,,,,,,,,,,,
pedestrian,N,1,1,,,,,,,,,,,,,,,,,,,,
driver,N,1,1,,,,,,,,,,,,,,,,,,,,
hat,N,0,,1,1,1,,,,,,,,,soft;cool;wool,,,,,,,,
scarf,N,0,,1,1,1,,,,,,,,,soft;cool;wool;warm,,,,,,,,
shirt,N,0,,1,1,1,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,,,,,
pants,N,0,,1,1,1,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,,,,,
shoes,N,0,,1,1,1,,,,,,,,,fancy;leather,,,,,,,,
gloves,N,0,,1,1,1,,,,,,,,,fancy;leather,,,,,,,,
glasses,N,0,,1,1,1,,,,,,,,,plastic;hip;metal,,,,,,,,
dress,N,0,,1,1,1,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,,,,,
